User-Wallet API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,React-Finland API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,GraphQL Zero API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite
5s,30.77%,92.31%,34.62%,16.67%,7.69%,,5s,53.85%,53.85%,23.08%,16.67%,0.00%,,5s,75.00%,37.50%,65.63%,3.13%,93.75%
10s,30.77%,92.31%,38.46%,33.33%,7.69%,,10s,53.85%,53.85%,23.08%,16.67%,0.00%,,10s,75.00%,100.00%,90.63%,6.25%,93.75%
20s,30.77%,92.31%,26.92%,50.00%,7.69%,,20s,53.85%,53.85%,30.77%,16.67%,0.00%,,20s,75.00%,100.00%,90.63%,9.38%,93.75%
30s,38.46%,92.31%,19.23%,50.00%,7.69%,,30s,53.85%,53.85%,38.46%,16.67%,0.00%,,30s,75.00%,100.00%,90.63%,9.38%,93.75%
60s,38.46%,92.31%,34.62%,50.00%,7.69%,,60s,53.85%,53.85%,46.15%,16.67%,0.00%,,60s,75.00%,100.00%,93.75%,15.63%,93.75%
,,,,,,,,,,,,,,,,,,,
Food Delivery API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,Rick&Morty API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,Anilist API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite
5s,30.00%,70.00%,70.00%,50.00%,20.00%,,5s,33.33%,66.67%,33.33%,11.11%,0.00%,,5s,0.00%,0.00%,0.00%,0.00%,0.00%
10s,30.00%,70.00%,70.00%,50.00%,20.00%,,10s,33.33%,66.67%,44.44%,11.11%,0.00%,,10s,8.93%,0.00%,0.00%,0.00%,0.00%
20s,30.00%,70.00%,70.00%,50.00%,20.00%,,20s,33.33%,66.67%,55.56%,22.22%,0.00%,,20s,8.93%,3.57%,0.00%,0.00%,0.00%
30s,50.00%,70.00%,70.00%,50.00%,20.00%,,30s,33.33%,66.67%,55.56%,22.22%,0.00%,,30s,8.93%,7.14%,0.00%,0.00%,0.00%
60s,50.00%,70.00%,70.00%,50.00%,20.00%,,60s,33.33%,66.67%,66.67%,33.33%,0.00%,,60s,8.93%,8.93%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,
Countries API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,JSON GraphQL Server,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,EHRI API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite
5s,50.00%,100.00%,0.00%,16.67%,50.00%,,5s,57.14%,38.10%,23.81%,14.29%,9.52%,,5s,42.11%,21.05%,31.58%,5.26%,0.00%
10s,50.00%,100.00%,0.00%,33.33%,50.00%,,10s,57.14%,38.10%,54.76%,26.19%,9.52%,,10s,42.11%,42.11%,42.11%,10.53%,0.00%
20s,50.00%,100.00%,0.00%,33.33%,50.00%,,20s,57.14%,38.10%,54.76%,28.57%,9.52%,,20s,42.11%,42.11%,42.11%,10.53%,0.00%
30s,50.00%,100.00%,0.00%,33.33%,50.00%,,30s,57.14%,66.67%,50.00%,28.57%,9.52%,,30s,42.11%,42.11%,78.95%,10.53%,0.00%
60s,50.00%,100.00%,100.00%,33.33%,50.00%,,60s,57.14%,100.00%,57.14%,28.57%,9.52%,,60s,42.11%,89.47%,78.95%,10.53%,0.00%
,,,,,,,,,,,,,,,,,,,
Universe API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,Poke API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite,,TCGDex API,GenericTester,GraphQLer,Evomaster,ZAP,Burp Suite
5s,19.57%,5.80%,2.17%,0.00%,0.00%,,5s,0.00%,0.00%,0.00%,0.00%,0.00%,,5s,50.00%,50.00%,100.00%,16.67%,50.00%
10s,19.57%,6.52%,3.62%,0.00%,0.00%,,10s,0.00%,0.00%,0.00%,0.00%,0.00%,,10s,50.00%,100.00%,100.00%,16.67%,50.00%
20s,19.57%,7.25%,6.82%,0.00%,0.00%,,20s,0.00%,0.00%,0.00%,0.00%,0.00%,,20s,50.00%,100.00%,100.00%,33.33%,50.00%
30s,19.57%,7.25%,8.33%,0.00%,0.00%,,30s,0.00%,0.00%,0.00%,0.00%,0.00%,,30s,50.00%,100.00%,100.00%,50.00%,50.00%
60s,19.57%,10.87%,9.85%,0.00%,0.00%,,60s,0.00%,3.27%,0.00%,0.00%,0.00%,,60s,50.00%,100.00%,100.00%,66.67%,50.00%
